lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
390	Burmese (Written)	Bs	44	AW-TBT		69	BURMESE (WRITTEN)	STC/AJ-BED?				
391	Burmese (Written)	WB	44	AW-TBT		69	BURMESE (WRITTEN)	STC/AJ-BED?				
392	Burmese (Written)	Burmese (Wr)	44	GEM-CNL		69	BURMESE (WRITTEN)					
393	Burmese (Written)	Burmese (Old)	44	GHL-PPB		69	BURMESE (WRITTEN)					
394	Burmese (Written)	WB	44	ILH-PL		69	BURMESE (WRITTEN)	STC/AJ-BED?				
395	Burmese (Written)	WB	44	JAM-DL		69	BURMESE (WRITTEN)					
396	Burmese (Written)	WB	44	JAM-Ety		69	BURMESE (WRITTEN)	STC/AJ-BED?				
397	Burmese (Written)	WB	44	JAM-GSTC		69	BURMESE (WRITTEN)	STC/AJ-BED?				
398	Burmese (Written)	WB	44	JAM-II		69	BURMESE (WRITTEN)					
399	Burmese (Written)	WB	44	JAM-MLBM		69	BURMESE (WRITTEN)	STC/AJ-BED?				
400	Burmese (Written)	WB	44	JAM-TIL		69	BURMESE (WRITTEN)	STC/AJ-BED?				
401	Burmese (Written)	WB	44	JAM-TJLB		69	BURMESE (WRITTEN)	STC/AJ-BED?				
402	Burmese (Written)	WB	44	JAM-TSR		69	BURMESE (WRITTEN)	STC/AJ-BED?				
403	Burmese (Written)	WB	44	JAM-VSTB		69	BURMESE (WRITTEN)	STC/AJ-BED?				
404	Burmese (Written)	WB	44	JO-PB		69	BURMESE (WRITTEN)					
