semkey	title	semcat	old_chapter	old_subchapter
1.2.6.2.1	Dilate	Vbp	1b	2.6.2
1.2.6.3	White of Eye	Nbp	1a	2.6.3
1.2.6.4	Eyelid	Nbp	1a	2.6.4
1.2.6.5	Eyelash	Nbp	1a	2.6.5
1.2.6.6	Eyebrow	Nbp	1a	2.6.6
1.2.6.7	Tears	Nbp	1a	2.6.7
1.2.6.8	Eye Sand	Nbp	1a	2.6.8
1.2.6.9	Watch	Vbp	1b	2.6.7
1.2.6.10	See/Look	Nbp	1a	2.6.9
1.2.6.11	Behold	Vbp	1b	2.6.9
1.2.6.12	Blink/Wink	Nbp	1a	2.6.10
1.2.6.13	Squint	Vbp	1b	2.6.10
1.2.6.14	Eye Illness	Nbp	1a	2.6.11
1.2.6.14.1	Cross-eyed	Vbp	1b	2.6.11
1.2.6.14.2	Blind	Vbp	1b	2.6.11.
1.2.6.14.3	Sty of Eye	Nbp		
1.2.7	Ear	Nbp	1a	2.7
1.2.7.1	Earlobe	Nbp	1a	2.7.1
1.2.7.2	Eardrum	Nbp	1a	2.7.2
1.2.7.3	Earwax	Nbp	1a	2.7.3
1.2.7.4	Hear/Listen	Nbp	1a	2.7.4
